Age,Gender,Employment_Type,City_Tier,Monthly_Income_INR,Existing_Loans,Existing_EMI_INR,Loan_Amount_INR,Loan_Tenure_Months,CIBIL_Score,Purpose,Risk
53,female,salaried,tier_1,53900,0,0,487000,60,731,business,good
37,female,salaried,tier_2,65000,3,21600,987000,24,591,business,bad
63,male,salaried,tier_3,41900,1,7100,920000,84,723,personal,good
39,male,salaried,tier_1,48000,0,0,570000,48,736,personal,good
35,male,business,tier_1,79500,1,23600,845000,60,700,car,good
60,male,salaried,tier_2,68300,0,0,1351000,120,786,car,good
37,male,self_employed,tier_1,96800,0,0,293000,48,777,education,good
24,female,business,tier_3,38300,1,8100,667000,84,636,home,bad
41,female,unemployed,tier_2,8200,0,0,62000,84,579,personal,good
56,male,self_employed,tier_2,95000,4,18300,1670000,36,593,education,bad
29,male,business,tier_3,52300,4,3700,638000,36,672,home,bad
41,female,salaried,tier_2,56800,2,4300,195000,60,638,personal,good
26,female,salaried,tier_1,57300,0,0,1224000,120,779,personal,good
51,male,salaried,tier_2,59300,4,15500,859000,12,731,personal,bad
41,male,unemployed,tier_2,21900,3,1000,210000,12,465,personal,bad
35,female,business,tier_2,76500,0,0,1359000,24,713,business,bad
30,female,salaried,tier_3,59900,0,0,804000,60,721,home,good
45,male,salaried,tier_1,75000,3,1700,280000,36,646,personal,bad
50,female,salaried,tier_2,38400,0,0,640000,48,719,education,bad
62,male,salaried,tier_1,58500,3,17900,1367000,36,697,home,bad
40,female,business,tier_1,63900,2,8000,490000,36,653,consumer_durable,good
28,male,salaried,tier_2,59400,4,19100,1255000,84,694,education,bad
57,male,self_employed,tier_3,55300,1,200,887000,48,701,car,good
48,male,self_employed,tier_2,50800,2,8300,236000,36,612,home,good
51,male,salaried,tier_1,66700,2,3400,1223000,12,723,consumer_durable,bad
25,male,salaried,tier_1,56300,4,6200,691000,36,544,business,good
34,male,unemployed,tier_2,13600,3,100,267000,84,474,home,bad
54,male,self_employed,tier_2,31100,3,400,509000,12,623,personal,bad
57,male,salaried,tier_3,27700,1,6900,85000,36,745,home,good
40,female,salaried,tier_2,75400,2,17300,426000,24,756,personal,good
56,female,business,tier_3,47600,0,0,495000,48,702,education,good
58,female,business,tier_3,47300,1,14900,621000,84,660,home,bad
38,male,business,tier_1,89100,4,21500,2011000,84,567,personal,good
60,male,self_employed,tier_2,61900,0,0,1254000,36,734,business,good
33,female,business,tier_2,74200,0,0,1472000,60,656,car,bad
31,male,salaried,tier_3,31800,2,3300,456000,84,643,home,bad
51,male,self_employed,tier_2,37500,3,10900,186000,84,675,consumer_durable,good
49,female,salaried,tier_2,51400,4,8900,959000,60,704,home,good
27,female,self_employed,tier_1,72000,2,3400,347000,12,578,education,good
57,male,unemployed,tier_2,11900,3,800,59000,36,452,personal,bad
29,female,unemployed,tier_3,8600,1,900,72000,24,517,car,good
56,male,salaried,tier_3,41900,2,5900,937000,60,645,home,bad
21,female,self_employed,tier_1,64000,1,13300,1200000,24,575,home,bad
56,male,business,tier_1,71900,0,0,331000,12,645,home,good
55,male,unemployed,tier_3,13300,1,1200,297000,120,600,personal,bad
55,male,self_employed,tier_2,40500,1,4700,788000,12,702,business,bad
50,male,salaried,tier_3,43200,2,400,677000,84,799,home,good
41,female,salaried,tier_1,36100,3,4700,205000,120,631,personal,good
52,male,business,tier_3,48700,4,11500,473000,84,675,education,bad
33,female,self_employed,tier_2,32700,4,11000,305000,48,615,home,bad
55,female,self_employed,tier_1,46000,1,11900,756000,48,648,personal,bad
45,male,self_employed,tier_1,151300,4,6200,2322000,84,600,car,good
41,female,salaried,tier_2,60000,4,18700,529000,24,617,personal,good
43,male,salaried,tier_1,114000,2,33500,1087000,36,692,car,good
46,male,business,tier_3,70800,1,4700,983000,36,706,personal,good
22,male,salaried,tier_2,77600,3,25400,1610000,24,621,business,bad
27,female,self_employed,tier_2,44800,0,0,253000,48,695,car,bad
31,female,self_employed,tier_1,113700,1,31200,2074000,36,701,consumer_durable,bad
26,female,business,tier_3,70600,2,11300,1688000,12,687,car,bad
40,female,salaried,tier_2,55800,4,3900,1046000,12,588,home,bad
50,female,self_employed,tier_3,39500,4,11000,485000,60,611,home,bad
49,male,salaried,tier_3,39300,4,6600,722000,48,684,business,bad
41,female,salaried,tier_2,56000,2,19000,1180000,84,629,personal,good
58,male,salaried,tier_3,40600,0,0,777000,12,675,consumer_durable,bad
45,male,salaried,tier_2,62900,3,7800,206000,36,664,personal,good
24,male,business,tier_2,128700,4,33100,741000,36,563,education,bad
54,male,business,tier_1,62000,2,12400,325000,60,646,business,good
46,male,salaried,tier_1,110700,2,16800,406000,48,663,consumer_durable,bad
48,male,business,tier_2,61500,4,15100,1107000,48,708,personal,good
45,male,salaried,tier_1,115800,0,0,998000,120,698,personal,good
45,male,self_employed,tier_2,42700,4,8600,775000,12,633,business,bad
24,female,business,tier_3,60700,2,6800,1031000,120,641,home,good
45,female,self_employed,tier_2,45400,3,9800,635000,24,549,business,bad
55,male,salaried,tier_1,40500,0,0,172000,12,797,consumer_durable,good
34,male,salaried,tier_2,101100,3,28200,951000,48,680,personal,bad
47,male,salaried,tier_1,53400,1,12200,191000,24,710,home,good
22,male,business,tier_3,54100,2,9400,1196000,84,663,home,bad
36,female,self_employed,tier_2,33200,2,200,315000,84,630,consumer_durable,bad
40,male,salaried,tier_2,34400,4,2000,172000,36,680,business,bad
64,female,salaried,tier_2,51200,3,6000,156000,84,603,personal,bad
30,female,business,tier_2,56900,2,12000,901000,24,662,consumer_durable,bad
33,male,salaried,tier_1,49300,2,13700,791000,36,677,personal,good
38,female,self_employed,tier_1,64000,1,21500,1529000,12,661,business,bad
64,male,self_employed,tier_2,28600,3,6000,259000,60,610,home,bad
58,female,salaried,tier_3,43100,4,11000,171000,84,653,home,bad
22,female,salaried,tier_1,71000,2,15400,1375000,84,644,personal,good
31,female,salaried,tier_1,31200,3,4700,293000,36,597,car,good
57,female,salaried,tier_1,61800,1,13200,615000,84,731,education,bad
23,female,self_employed,tier_2,56600,2,7900,1249000,60,687,personal,good
58,female,business,tier_1,65100,2,10300,982000,60,594,home,bad
33,male,salaried,tier_3,49300,3,15700,562000,24,672,personal,good
61,female,salaried,tier_1,86400,1,17100,1984000,84,701,home,good
33,female,salaried,tier_2,38500,1,1400,330000,84,662,business,good
40,male,salaried,tier_1,73900,1,13500,255000,120,698,car,good
50,female,self_employed,tier_2,64100,2,21400,503000,36,653,personal,good
26,male,self_employed,tier_1,47700,1,1700,187000,48,646,personal,good
45,male,self_employed,tier_2,44700,0,0,517000,12,628,education,bad
43,male,salaried,tier_3,61700,2,21300,1262000,60,729,car,bad
55,male,self_employed,tier_1,48000,4,9400,1127000,48,622,home,bad
64,female,salaried,tier_3,48400,0,0,857000,84,768,car,bad
50,male,unemployed,tier_1,11100,3,0,249000,84,565,car,bad
39,male,self_employed,tier_2,45400,4,200,526000,120,513,home,good
38,male,business,tier_2,81800,4,11100,765000,120,627,personal,bad
39,male,salaried,tier_1,32000,4,8800,200000,24,632,car,good
56,female,salaried,tier_2,45600,1,15000,616000,120,760,car,bad
35,female,self_employed,tier_1,75300,0,0,743000,12,631,car,bad
28,male,salaried,tier_2,59500,4,10200,313000,48,668,education,good
35,male,self_employed,tier_2,40000,3,7000,903000,120,565,personal,good
21,male,salaried,tier_3,28000,1,3700,157000,60,690,personal,good
25,male,unemployed,tier_1,20200,4,3800,374000,120,476,personal,bad
24,male,salaried,tier_3,36800,1,11900,163000,48,669,education,bad
54,male,business,tier_1,114400,3,17600,1610000,60,589,education,good
52,male,salaried,tier_2,62800,4,3000,1078000,48,639,car,good
51,male,salaried,tier_1,63500,3,14800,503000,120,714,personal,bad
41,male,salaried,tier_1,108100,3,1200,496000,12,727,car,good
52,male,salaried,tier_1,60300,0,0,932000,36,815,business,bad
28,female,unemployed,tier_2,18200,4,6000,285000,60,490,personal,bad
60,female,business,tier_1,150100,2,4800,1434000,48,672,personal,good
43,male,unemployed,tier_2,17300,3,3300,189000,120,523,personal,bad
62,female,unemployed,tier_3,8400,3,2300,33000,60,612,consumer_durable,good
27,female,self_employed,tier_1,158000,1,25700,1455000,12,663,education,bad
42,male,salaried,tier_1,78300,3,13100,1686000,60,665,education,good
51,male,business,tier_1,102800,1,34900,678000,36,656,business,good
42,male,salaried,tier_1,73700,1,5900,946000,48,690,personal,good
40,female,business,tier_2,47100,4,8700,811000,12,618,education,bad
28,male,salaried,tier_2,86500,3,3500,1718000,120,611,car,good
37,female,self_employed,tier_1,53000,2,5600,249000,36,605,car,good
31,male,salaried,tier_1,102400,0,0,1580000,84,699,business,good
34,male,salaried,tier_2,82500,3,20700,1334000,48,631,car,good
51,female,salaried,tier_1,91700,3,19600,655000,120,699,home,good
48,male,salaried,tier_2,43200,0,0,158000,36,753,home,good
47,female,salaried,tier_3,36600,3,10900,759000,12,679,consumer_durable,bad
36,female,salaried,tier_1,29100,1,3000,356000,48,712,personal,good
63,female,salaried,tier_2,52800,3,9900,226000,12,692,education,bad
24,male,self_employed,tier_3,47700,4,3900,722000,84,411,business,bad
36,female,salaried,tier_2,50600,3,9200,552000,120,615,car,bad
26,male,business,tier_3,42700,4,8400,200000,24,616,personal,bad
35,male,salaried,tier_3,37200,0,0,336000,12,669,personal,good
63,female,self_employed,tier_2,73400,1,13000,724000,84,721,education,bad
37,female,salaried,tier_2,54000,0,0,814000,60,750,personal,good
60,male,salaried,tier_2,105400,0,0,1209000,84,725,consumer_durable,good
42,male,self_employed,tier_2,39300,1,7500,206000,48,631,car,good
51,female,self_employed,tier_2,51800,0,0,847000,60,686,home,good
41,female,salaried,tier_1,63800,1,1100,1168000,24,694,business,good
32,male,salaried,tier_3,85300,0,0,1165000,36,731,education,good
54,female,salaried,tier_1,79100,0,0,343000,60,624,personal,good
63,male,salaried,tier_1,156400,4,6500,808000,120,635,car,bad
32,male,salaried,tier_1,64100,3,11800,1464000,36,604,business,bad
55,female,self_employed,tier_1,110600,2,7700,772000,36,541,personal,good
32,female,salaried,tier_2,57300,2,300,542000,60,645,consumer_durable,good
52,male,self_employed,tier_1,86800,1,8600,1514000,12,602,education,bad
55,male,salaried,tier_2,35900,2,6400,705000,60,677,consumer_durable,good
40,male,salaried,tier_2,62100,3,15500,1374000,12,637,personal,bad
53,female,salaried,tier_1,51100,2,7800,577000,60,713,personal,good
32,male,salaried,tier_1,81200,3,27400,1936000,120,638,personal,good
24,male,salaried,tier_2,32300,2,2300,167000,120,581,education,bad
25,female,business,tier_2,67700,1,12200,1378000,24,652,personal,bad
40,male,self_employed,tier_1,95100,4,8400,829000,60,710,car,good
60,male,salaried,tier_1,89900,4,25400,2039000,48,713,car,good
26,male,salaried,tier_1,48200,1,3200,1024000,48,709,personal,bad
41,female,business,tier_1,48600,2,16400,924000,60,629,home,bad
51,male,salaried,tier_1,88400,3,22200,1386000,120,650,personal,good
29,male,salaried,tier_3,71700,1,14000,538000,60,656,car,good
52,male,business,tier_1,67400,3,12600,856000,48,644,car,good
34,female,salaried,tier_1,154700,4,19600,577000,60,582,personal,bad
56,female,salaried,tier_3,41200,1,300,737000,48,724,car,good
46,male,salaried,tier_2,27700,0,0,151000,36,690,consumer_durable,good
45,male,self_employed,tier_2,27800,4,7700,234000,84,530,consumer_durable,bad
28,female,salaried,tier_2,72000,4,3400,587000,60,596,education,good
41,male,self_employed,tier_3,37700,4,1600,737000,48,658,education,good
58,male,salaried,tier_1,124700,3,13400,1423000,12,687,home,good
21,male,salaried,tier_1,48800,0,0,694000,24,530,personal,bad
54,male,salaried,tier_3,43000,4,7600,317000,24,627,home,bad
42,male,business,tier_3,52600,0,0,527000,60,716,consumer_durable,bad
52,male,salaried,tier_3,39200,0,0,539000,12,714,consumer_durable,good
50,male,self_employed,tier_1,56700,3,18300,401000,36,654,home,bad
40,male,salaried,tier_3,36300,1,2100,635000,48,677,personal,good
34,female,salaried,tier_1,78900,4,8800,981000,84,642,education,good
48,male,salaried,tier_2,61100,4,20300,1445000,24,652,personal,bad
27,male,salaried,tier_3,45100,4,11600,369000,60,596,home,bad
46,female,salaried,tier_1,113200,4,20200,1281000,48,674,personal,good
25,male,business,tier_1,62100,2,18800,1392000,84,688,home,bad
49,female,business,tier_2,37100,4,800,802000,24,629,business,bad
48,male,self_employed,tier_3,51400,4,1400,677000,60,615,education,good
24,female,self_employed,tier_1,46600,1,2500,261000,36,598,personal,good
54,male,salaried,tier_3,36100,2,3300,418000,24,736,consumer_durable,good
39,male,self_employed,tier_1,52300,3,13000,802000,12,595,personal,good
55,male,salaried,tier_2,44100,4,8200,368000,36,684,personal,good
22,male,business,tier_1,56700,1,8500,398000,48,667,education,good
28,male,business,tier_3,43000,1,11800,609000,12,685,education,bad
42,female,salaried,tier_1,93200,1,10300,624000,84,742,car,good
29,female,business,tier_2,69900,3,2100,1493000,60,649,consumer_durable,bad
35,male,business,tier_1,112800,2,15700,514000,36,574,car,bad
50,female,salaried,tier_3,34700,1,9300,824000,12,668,education,bad
27,female,business,tier_3,72000,3,11900,1029000,60,541,personal,bad
50,female,salaried,tier_1,62100,3,21200,1469000,12,606,car,bad
25,female,salaried,tier_1,35500,2,10600,667000,36,727,business,bad
28,female,salaried,tier_1,83000,3,23000,516000,24,600,car,bad
46,male,self_employed,tier_2,62800,1,17000,488000,24,611,home,good
55,female,salaried,tier_3,33900,0,0,178000,84,728,personal,good
28,female,business,tier_2,106500,4,33600,1950000,36,553,personal,bad
34,male,salaried,tier_2,40800,3,8400,267000,24,753,consumer_durable,good
61,male,salaried,tier_2,69600,4,9100,1253000,36,654,education,good
64,male,self_employed,tier_2,88400,4,6100,1861000,24,650,home,bad
46,female,salaried,tier_1,75200,1,21400,876000,84,667,car,bad
40,male,self_employed,tier_1,59900,2,7800,1011000,48,562,education,good
36,female,salaried,tier_1,71600,4,19800,1561000,24,603,personal,good
47,female,unemployed,tier_2,21200,0,0,399000,36,529,car,good
47,female,self_employed,tier_1,74600,4,10400,429000,120,577,personal,good
33,male,salaried,tier_2,116500,0,0,1065000,60,632,business,bad
22,female,salaried,tier_1,81900,1,4900,1167000,60,679,education,good
27,female,salaried,tier_2,43800,2,7300,374000,84,646,personal,good
63,male,unemployed,tier_1,13200,3,3000,180000,36,457,car,bad
39,female,self_employed,tier_2,49000,1,5400,1127000,36,658,business,bad
42,male,salaried,tier_1,36300,4,6200,454000,120,678,car,good
41,female,salaried,tier_1,62900,3,11800,534000,48,714,personal,bad
55,male,business,tier_1,80700,3,7800,491000,24,528,car,bad
23,male,salaried,tier_2,59800,3,500,1311000,120,606,home,good
24,male,self_employed,tier_3,71000,0,0,556000,84,592,car,good
33,male,self_employed,tier_1,66100,4,18600,467000,36,563,car,good
42,male,salaried,tier_2,28100,3,2700,410000,24,724,business,bad
50,female,salaried,tier_2,39900,0,0,507000,60,692,car,good
42,male,salaried,tier_2,60300,3,9000,669000,48,640,consumer_durable,good
40,male,salaried,tier_2,56800,0,0,861000,24,675,education,good
62,female,unemployed,tier_1,28600,3,7500,428000,12,598,car,bad
28,female,self_employed,tier_2,67200,2,9700,298000,84,519,education,good
46,male,business,tier_3,72700,0,0,852000,84,655,home,good
44,female,salaried,tier_3,38200,1,10000,693000,120,661,business,good
41,male,salaried,tier_1,109100,0,0,1202000,36,637,home,good
56,female,self_employed,tier_2,35100,4,7900,841000,60,670,business,bad
32,male,salaried,tier_1,104200,4,25200,828000,60,550,home,good
62,female,salaried,tier_2,49800,4,1700,668000,24,647,car,bad
35,female,salaried,tier_1,44700,2,6600,767000,120,667,home,bad
44,female,self_employed,tier_1,79800,1,24800,1158000,36,626,personal,bad
43,male,self_employed,tier_2,78300,4,4400,299000,12,526,personal,bad
58,female,salaried,tier_3,35800,1,3900,494000,24,709,consumer_durable,good
40,male,business,tier_1,163300,2,38700,3804000,120,603,car,good
33,female,salaried,tier_2,30800,0,0,355000,12,741,home,good
21,female,salaried,tier_2,36200,4,700,197000,48,641,personal,good
37,female,salaried,tier_3,39200,0,0,135000,48,797,personal,good
57,male,business,tier_2,61500,0,0,717000,84,698,business,good
21,male,salaried,tier_1,58800,4,17700,405000,84,645,education,good
60,male,salaried,tier_1,77800,4,24200,1597000,48,649,personal,bad
44,male,salaried,tier_2,45700,4,12400,1051000,60,723,home,good
27,male,self_employed,tier_1,57100,4,18500,1299000,84,586,consumer_durable,bad
34,male,self_employed,tier_3,39700,0,0,431000,84,661,home,good
45,female,salaried,tier_3,32700,1,10600,410000,120,725,business,bad
34,male,business,tier_3,50600,3,9100,487000,60,583,car,good
25,male,salaried,tier_1,59200,1,9600,338000,36,654,personal,good
50,male,salaried,tier_2,36100,3,1300,532000,48,695,business,good
50,female,self_employed,tier_2,62700,4,4700,433000,84,646,business,good
26,female,self_employed,tier_1,117800,4,26900,500000,36,611,education,good
33,male,salaried,tier_1,107800,3,4800,2246000,120,647,education,bad
31,male,self_employed,tier_1,72800,3,24000,1439000,48,620,business,bad
50,male,salaried,tier_1,59300,2,4700,1331000,84,732,personal,bad
53,male,self_employed,tier_3,32600,0,0,322000,48,639,personal,good
52,male,self_employed,tier_3,52100,2,4300,1109000,120,651,car,good
62,male,unemployed,tier_1,7300,4,100,83000,60,376,education,bad
54,female,salaried,tier_2,48400,4,2800,219000,84,691,car,good
35,male,self_employed,tier_1,83800,1,17200,1057000,84,614,personal,bad
25,female,self_employed,tier_1,43500,3,4400,636000,36,567,home,bad
48,male,salaried,tier_1,86100,1,24100,1040000,36,699,education,good
61,female,salaried,tier_2,62800,2,8900,1224000,84,730,business,good
63,female,unemployed,tier_2,7200,3,1800,75000,48,634,personal,good
31,female,salaried,tier_3,42500,2,10500,950000,60,596,business,bad
31,male,self_employed,tier_3,29000,3,1400,132000,48,570,car,good
22,male,salaried,tier_1,85900,0,0,1557000,12,701,education,bad
27,female,business,tier_2,88500,1,26100,1992000,48,606,personal,bad
45,female,salaried,tier_1,85400,4,20900,1248000,24,684,education,bad
45,male,unemployed,tier_1,16600,3,1000,356000,12,497,personal,bad
37,male,self_employed,tier_2,53100,4,12600,931000,24,637,home,bad
34,male,salaried,tier_1,49200,4,5700,163000,36,622,personal,good
57,female,self_employed,tier_1,64100,1,1300,1096000,84,700,home,bad
41,female,self_employed,tier_1,49000,1,3900,823000,24,613,personal,bad
56,female,salaried,tier_1,106500,1,28200,320000,84,801,business,good
63,female,salaried,tier_3,52400,2,7200,607000,24,628,home,good
34,male,self_employed,tier_1,82200,1,15700,314000,84,616,education,good
29,male,self_employed,tier_2,87400,1,4200,800000,48,578,education,good
62,male,salaried,tier_3,36800,0,0,873000,12,775,personal,bad
48,female,business,tier_2,57800,1,4800,1315000,12,689,home,bad
33,male,salaried,tier_2,48600,4,8000,845000,12,578,education,bad
48,male,salaried,tier_3,23500,2,7000,252000,36,731,personal,good
43,male,self_employed,tier_1,38000,3,10200,430000,36,591,personal,good
60,male,salaried,tier_1,92300,2,5200,351000,12,718,personal,bad
32,male,salaried,tier_2,33800,2,800,342000,60,695,car,good
64,male,salaried,tier_2,37800,3,3000,736000,84,677,consumer_durable,good
62,male,salaried,tier_3,39800,0,0,553000,84,780,home,bad
28,female,salaried,tier_1,64300,1,11600,837000,24,674,home,bad
28,male,self_employed,tier_2,65400,0,0,321000,120,674,personal,good
44,male,salaried,tier_2,56200,0,0,1253000,36,705,education,good
22,male,business,tier_3,39700,3,8200,355000,24,513,personal,bad
34,female,self_employed,tier_1,91000,0,0,1005000,12,660,car,bad
40,male,salaried,tier_1,95800,1,21000,953000,84,655,car,bad
63,female,salaried,tier_3,25200,2,4100,250000,24,767,personal,good
64,female,self_employed,tier_2,52400,1,4400,817000,60,622,car,bad
27,female,salaried,tier_1,57800,0,0,934000,48,752,personal,good
60,male,salaried,tier_1,57300,4,19500,892000,120,657,personal,good
25,female,business,tier_3,101000,4,9600,448000,84,601,home,bad
53,male,self_employed,tier_2,50100,2,12700,1170000,84,590,personal,bad
58,male,self_employed,tier_2,44500,2,14700,801000,48,645,business,bad
60,male,salaried,tier_3,42500,4,8400,915000,48,635,business,good
30,male,salaried,tier_1,100800,4,17300,640000,24,723,home,good
60,male,salaried,tier_1,58100,0,0,1312000,84,706,personal,good
26,male,self_employed,tier_2,39900,0,0,724000,84,708,business,good
43,male,salaried,tier_3,51900,1,16600,701000,36,751,personal,bad
41,male,salaried,tier_1,43700,1,15000,152000,12,747,car,good
34,male,salaried,tier_2,77800,4,5500,647000,84,607,home,good
21,female,self_employed,tier_1,36900,2,11900,761000,84,695,personal,bad
54,male,self_employed,tier_1,59500,4,7700,652000,84,708,personal,good
35,female,salaried,tier_3,23600,3,5100,407000,12,669,business,bad
50,male,salaried,tier_1,51300,3,4000,941000,84,650,business,bad
39,male,salaried,tier_1,116900,4,10200,2255000,36,601,car,bad
37,male,salaried,tier_3,59500,2,12900,656000,24,694,personal,bad
59,male,salaried,tier_1,111100,3,18900,2456000,48,685,home,bad
25,male,salaried,tier_1,44700,1,15100,408000,84,685,home,good
53,male,self_employed,tier_3,24900,1,2300,512000,84,610,home,good
53,male,self_employed,tier_1,73000,2,22400,870000,24,654,consumer_durable,bad
37,male,unemployed,tier_2,15400,4,2500,122000,120,529,home,bad
32,male,business,tier_1,71400,0,0,729000,84,700,education,bad
21,male,salaried,tier_1,60600,2,5100,1199000,120,635,education,good
62,male,salaried,tier_2,37000,1,9800,589000,120,716,car,bad
62,male,salaried,tier_1,132700,4,38400,779000,48,601,personal,good
31,male,self_employed,tier_3,30500,2,400,171000,12,596,home,bad
22,male,salaried,tier_3,41700,0,0,727000,12,676,education,bad
26,male,salaried,tier_3,42500,0,0,341000,60,725,education,good
23,male,salaried,tier_1,109300,3,23500,807000,12,607,business,bad
57,female,salaried,tier_1,53200,1,12100,997000,60,669,personal,good
60,male,self_employed,tier_3,54200,0,0,530000,12,731,business,bad
27,male,self_employed,tier_2,30700,0,0,136000,84,638,car,good
53,male,salaried,tier_2,82700,0,0,986000,24,691,home,good
28,female,business,tier_3,28800,1,1900,431000,12,677,education,bad
37,male,salaried,tier_1,71600,3,23500,1119000,36,676,consumer_durable,good
47,male,salaried,tier_1,131100,4,25100,554000,120,640,car,good
52,female,salaried,tier_2,70200,2,5400,879000,48,675,home,good
59,male,self_employed,tier_2,55600,4,15300,587000,120,641,consumer_durable,bad
22,female,self_employed,tier_1,44900,3,9200,558000,24,621,consumer_durable,good
29,male,salaried,tier_2,42500,0,0,165000,60,709,home,bad
33,female,unemployed,tier_3,14400,3,100,133000,24,496,personal,bad
34,male,salaried,tier_1,87600,1,24000,1447000,48,660,education,good
64,male,salaried,tier_1,101400,4,25500,572000,36,645,education,bad
55,female,self_employed,tier_2,49300,4,4500,1141000,60,611,education,bad
35,male,business,tier_3,47600,0,0,1136000,60,624,consumer_durable,bad
63,female,self_employed,tier_3,47100,0,0,498000,12,652,home,bad
42,male,unemployed,tier_1,17700,2,4200,306000,60,515,personal,bad
43,female,salaried,tier_3,38900,3,4000,636000,84,707,home,good
40,female,self_employed,tier_3,21900,2,2400,143000,36,544,personal,good
27,male,business,tier_2,97700,0,0,1090000,12,640,personal,good
62,female,salaried,tier_1,86600,3,29700,2043000,36,697,personal,good
21,male,salaried,tier_1,60100,3,9700,341000,36,684,consumer_durable,good
28,female,unemployed,tier_2,18100,4,2400,273000,84,547,personal,good
31,male,salaried,tier_1,80900,1,13300,1261000,12,672,personal,bad
33,male,salaried,tier_1,81400,0,0,531000,36,793,car,good
26,female,business,tier_3,71500,3,22100,1018000,84,623,consumer_durable,bad
21,male,business,tier_1,119400,3,41400,2659000,120,633,education,bad
